reviewDate,timeDelta,sentimentScore,stars
2010-10-14,1733,0.499327076518,3
2010-10-15,1734,0.320731998385,5
2010-10-17,1736,0.190922527373,4
2010-10-25,1744,0.5054361605,4
2010-10-31,1750,0.582703409522,5
2010-11-03,1753,0.916442199505,4
2010-11-19,1769,0.684321758513,5
2010-11-20,1770,0.572542758873,5
2010-11-21,1771,0.447942380521,5
2010-12-03,1783,0.298906416889,4
2010-12-04,1784,0.443004630239,4
2010-12-25,1805,0.803317554859,4
2010-12-30,1810,0.696187232218,4
2011-01-02,1813,0.53562092621,5
2011-01-02,1813,0.489901256952,5
2011-01-04,1815,0.323331213985,5
2011-01-07,1818,0.639211833286,4
2011-01-20,1831,0.730349624088,4
2011-01-24,1835,0.715817658238,4
2011-01-25,1836,0.437942421542,4
2011-01-29,1840,0.687804195221,4
2011-01-29,1840,0.793553252286,4
2011-01-30,1841,0.605990470385,4
2011-02-02,1844,0.709005841527,5
2011-02-08,1850,0.31406733018,5
2011-02-13,1855,0.709830590046,4
2011-02-17,1859,0.33459631473,5
2011-02-20,1862,0.374876039988,4
2011-03-01,1871,0.789664115789,4
2011-03-10,1880,0.932504364952,4
2011-03-18,1888,0.683732136739,4
2011-03-21,1891,0.422227007249,3
2011-03-29,1899,0.86896421783,5
2011-04-08,1909,0.337242588682,4
2011-04-11,1912,0.305880386709,3
2011-04-13,1914,0.672586544777,5
2011-04-14,1915,0.624354171572,4
2011-04-19,1920,0.532989658633,4
2011-04-21,1922,0.763843582628,5
2011-04-28,1929,0.750042987495,4
2011-05-21,1952,0.747226303936,4
2011-05-25,1956,0.788662905788,5
2011-05-29,1960,0.215141372821,2
2011-06-16,1978,0.367971901385,5
2011-06-18,1980,0.322358721961,4
2011-06-20,1982,0.298147850481,4
2011-06-28,1990,0.329699849103,3
2011-07-02,1994,0.589165029296,4
2011-07-04,1996,0.476348777463,4
2011-07-08,2000,0.626858877342,5
2011-07-11,2003,0.627610780969,4
2011-07-12,2004,0.460656438447,5
2011-07-25,2017,0.83991208111,5
2011-08-02,2025,0.883938800556,5
2011-08-02,2025,0.754212473074,4
